CustomerID,Recency,Frequency,Monetary,AOV_Mean,Product_Diversity,Customer_Lifetime,R_Score,F_Score,M_Score,Simple_Segment,KMeans_Cluster,Hierarchical_Cluster,Best_Cluster
12346.0,326,1,77183.6,77183.6,1,1,1,1,5,Lost Customers,0,0,0
12747.0,2,11,4196.01,40.737961165048546,42,367,5,5,5,Champions,1,1,1
12748.0,1,209,33053.19,7.491656844968269,1768,373,5,5,5,Champions,1,1,1
12749.0,4,5,4090.88,20.55718592964824,160,210,5,4,5,Champions,1,1,1
12820.0,3,4,942.34,15.97186440677966,55,324,5,4,4,Champions,1,0,1
12821.0,214,1,92.72,15.453333333333333,6,1,1,1,1,Lost Customers,0,0,0
12822.0,71,2,948.88,20.62782608695652,41,17,3,2,4,Potential Loyalists,0,0,0
12823.0,75,5,1759.5,351.9,1,222,2,4,4,Loyal Customers,0,0,0
12824.0,60,1,397.12,15.8848,25,1,3,1,2,Potential Loyalists,0,0,0
12826.0,3,7,1474.72,16.205714285714286,58,363,5,5,4,Champions,1,1,1
12827.0,6,3,430.15000000000003,17.206000000000003,19,39,5,3,2,Potential Loyalists,0,0,0
12828.0,3,6,1018.71,18.19125,46,128,5,4,4,Champions,0,1,0
12829.0,337,2,293.0,26.636363636363637,9,24,1,2,2,Lost Customers,0,0,0
12830.0,38,6,6814.64,179.33263157894737,13,135,3,4,5,Loyal Customers,1,0,1
12831.0,262,1,215.05,23.894444444444446,9,1,1,1,1,Lost Customers,0,0,0
12832.0,32,2,383.03,14.186296296296295,27,66,4,2,2,New Customers,0,0,0
12833.0,145,1,417.38,17.390833333333333,24,1,2,1,2,Lost Customers,0,0,0
12834.0,283,1,312.38,17.354444444444443,18,1,1,1,2,Lost Customers,0,0,0
12836.0,59,4,2610.36,15.002068965517243,148,253,3,4,5,Loyal Customers,1,1,1
12837.0,173,1,134.1,11.174999999999999,12,1,2,1,1,Lost Customers,0,0,0
12838.0,34,2,671.95,5.599583333333333,115,341,3,2,3,Potential Loyalists,1,1,1
12839.0,3,14,5591.42,17.80707006369427,95,365,5,5,5,Champions,1,1,1
12840.0,144,4,2726.77,24.13070796460177,67,83,2,4,5,Loyal Customers,1,1,1
12841.0,5,25,3991.58,9.641497584541062,229,368,5,5,5,Champions,1,1,1
12842.0,70,2,1118.99,32.9114705882353,34,239,3,2,4,Potential Loyalists,0,0,0
12843.0,66,8,1702.26,16.526796116504855,69,199,3,5,4,Loyal Customers,1,1,1
12844.0,29,2,325.96000000000004,6.268461538461539,47,102,4,2,2,New Customers,0,0,0
12845.0,267,4,354.09,13.114444444444443,26,23,1,4,2,Lost Customers,0,0,0
12847.0,22,1,843.64,10.043333333333333,72,1,4,1,3,New Customers,0,0,0
12849.0,31,2,1010.29,21.047708333333333,47,238,4,2,4,New Customers,0,0,0
12851.0,97,1,131.81,2.8044680851063832,43,1,2,1,1,Lost Customers,0,0,0
12852.0,295,1,311.55,18.326470588235296,17,1,1,1,2,Lost Customers,0,0,0
12853.0,135,6,1957.1000000000001,25.09102564102564,66,182,2,4,5,Loyal Customers,1,1,1
12854.0,79,3,1316.25,12.075688073394495,95,240,2,3,4,Lost Customers,1,1,1
12855.0,373,1,38.1,12.700000000000001,3,1,1,1,1,Lost Customers,0,0,0
12856.0,8,6,2170.78,6.98,155,56,5,4,5,Champions,1,1,1
12857.0,211,2,1106.4,24.05217391304348,37,92,1,2,4,Lost Customers,0,0,0
12863.0,52,1,521.2,104.24000000000001,5,1,3,1,3,Potential Loyalists,0,0,0
12864.0,138,1,147.12,49.04,3,1,2,1,1,Lost Customers,0,0,0
12867.0,26,7,4009.34,7.50812734082397,240,334,4,5,5,Champions,1,1,1
12868.0,186,6,1607.0600000000002,15.0192523364486,72,188,1,4,4,Loyal Customers,1,1,1
12871.0,84,2,380.64,34.60363636363636,8,124,2,2,2,Lost Customers,0,0,0
12872.0,327,2,599.97,9.090454545454547,58,39,1,2,3,Lost Customers,0,0,0
12873.0,282,1,374.0,93.5,4,1,1,1,2,Lost Customers,0,0,0
12875.0,143,2,343.2300000000001,171.61500000000004,1,220,2,2,2,Lost Customers,0,0,0
12877.0,4,12,1535.77,9.972532467532467,100,355,5,5,4,Champions,1,1,1
12878.0,236,2,854.99,18.191276595744682,38,30,1,2,3,Lost Customers,0,0,0
12879.0,45,3,573.22,57.322,7,48,3,3,3,At Risk,0,0,0
12881.0,276,1,298.0,42.57142857142857,7,1,1,1,2,Lost Customers,0,0,0
12882.0,9,2,1463.04,112.54153846153847,12,25,5,2,4,New Customers,0,0,0
12883.0,25,4,703.47,16.749285714285715,39,65,4,4,3,Potential Loyalists,0,0,0
12884.0,88,1,309.05,44.15,7,1,2,1,2,Lost Customers,0,0,0
12885.0,63,3,1175.22,16.552394366197184,66,61,3,3,4,At Risk,0,0,0
12886.0,68,2,1378.4,16.809756097560978,75,152,3,2,4,Potential Loyalists,0,0,0
12888.0,214,2,354.12,70.824,4,42,1,2,2,Lost Customers,0,0,0
12890.0,24,1,376.71999999999997,4.768607594936708,78,1,4,1,2,New Customers,0,0,0
12891.0,186,3,331.0,110.33333333333333,2,108,1,3,2,Lost Customers,0,0,0
12893.0,31,1,176.55,5.695161290322581,27,1,4,1,1,New Customers,0,0,0
12895.0,42,2,372.8,16.945454545454545,22,45,3,2,2,Potential Loyalists,0,0,0
12897.0,205,2,216.5,54.125,3,98,1,2,1,Lost Customers,0,0,0
12901.0,9,28,17654.54,152.19431034482758,30,262,5,5,5,Champions,1,1,1
12902.0,265,1,138.68,13.868,10,1,1,1,1,Lost Customers,0,0,0
12904.0,18,2,496.06,6.986760563380281,59,155,4,2,3,New Customers,0,0,0
12906.0,12,5,2919.81,46.34619047619047,55,67,5,4,5,Champions,1,0,1
12908.0,176,2,750.0,375.0,1,137,2,2,3,Lost Customers,0,0,0
12909.0,40,5,2178.67,23.941428571428574,78,214,3,4,5,Loyal Customers,1,1,1
12910.0,23,8,3075.04,41.00053333333333,48,219,4,5,5,Champions,1,1,1
12912.0,3,5,1662.3,69.2625,17,38,5,4,4,Champions,0,0,0
